Common Name Used,Other common names and information,Latin name,kingdom,class,order,family,genius
Acadian flycatcher,,Empidonax virescens ,Animal,Bird,Passeriformes,Tyrannida,Empidonax
African fat-tailed gecko,,Hemitheconyx caudicinctus,,,,,
African giant rat,"Gambian Rat, Northern giant pouched rat",Cricetomys gambianus,Animal,Mammal,Rodentia,Nesomyidae,Cricetomys
African spurred tortoise,,"Geochelone sulcata, Testudo calcarata, Geochelone sulcata",,,,,
Alcidae ,"Murres, Auks, Puffins",,Animal,Bird,Charadriiformes,Alcidae,
Aldabra tortoise,Aldabrachelys gigantea,Geochelone gigantea,,,,,
American black bear,black bear,Ursus americanus,Animal,Mammal,Carnivora,Ursida,Ursus
American coot,"Mudhen, pouldeau",,Animal,Bird,Gruiformes,Rallidae,Fulica
American crow,North American Crow,Corvus brachyrhynchos,Animal,Bird,Passeriformes,Corvidae,Corvus
American goldfinch,,"Cardeulis tristis, Spinus tristis",Animal,Bird,Passeriformes,Fringillidae,Spinus
American kestrel,"Sparrow hawk, There is an American Sparrow hawk and a Eurasian Sparrowhawk that are very different species.  As far as I can tell the difference is in the space between sparrow and hawk.",Falco sparverius,Animal,Bird,Falconiformes,Falconidae,Falco
American mink,mink,Mustela vison ,Animal,Mammal,Carnivora,Mustelidae,Mustela
American pipit,"Buff-bellied pipit, There are multiple subspecies of this bird that all have the same species name.",Anthus rubescens,Animal,Bird,Passeriformes,Motacillidae,Anthus
American redstart,,Setophaga ruticilla,Animal,Bird,Passeriformes,Parulidae,Setophaga
American robin,,Turdus migratorius,Animal,Bird,Passeriformes,Turdidae,Turdus
American toad,,Bufo americanus,Animal,Amphibia,Anura,Bufonidae,Anaxyrus
American tree sparrow,Tree Sparrows are weird check the latin name since tree sparrow is often used to refer to Eurasian Sparrows,"Spizella arborea, Spizelloides arborea ",Animal,Bird,Passeriformes,Passerellidae,Spizelloides
American white ibis,white ibis,Eudocimus albus,Animal,Bird,Pelecaniformes,Threskiornithidae,Eudocimus
American wigeon,,"Anas americana, Mareca americana",Animal,Bird,Anseriformes,Anatidae,Mareca
Amethystine python,Scrub Python ,"Morelia amethistina, Simalia amethistina",,,,,
Anas penelope,"Common teal, Green winged teal",Anas crecca,,,,,
Ant,Ants are all part of the same family,,Animal,Insect,Hymenoptera,Formicidae,
Anthomyiidae,,Anthomyiidae,Animal,Insect,Diptera,Anthomyiidae,
Antechinus,,Antechinus stuartii,Animal,Mammal,Dasyuromorphia,Dasyuridae,Antechinus
Argentine black and white tegu,Argentine Giant Tegu,"Tupinambis merianae, Salvator merianae",,,,,
Ash-throated flycatcher,,Myiarchus cinerascens,Animal,Bird,Passeriformes,Tyrannidae,Myiarchus
Atlantic puffin,puffin,Fratercula arctica,Animal,Bird,Charadriiformes,Alcidae,Fratercula
Australian bush rat,bush rat,Rattus fuscipes,Animal,Mammal,Rodentia,Muridae,Rattus
Ball Pythonÿ,Royal Python,"Python regius, 	Boa regia",,,,,
Banded Mongoose,,Mungosÿmungo,,,,,
Band-tailed pigeon,,"Patagioenasÿfasciata , 	Columba fasciata",Animal,Bird,Columbiformes,Columbidae,Patagioenas
Bank vole,Common redbacked vole,Myodesÿglareolus,Animal,Mammal,Rodentia,Cricetidae,Myodes
Barbary Macaque,Barbary ape,"Macacaÿsylvanus, Inuus ecaudatus, Simia inuus, Simia pithecus, Pithecus pygmaeus",Animal,Mammal,Primates,Cercopithecidae,Macaca
Barn owl,Barn owl is a general term used for multiple species of owl of the same family,Tyto Alba,Animal,Bird,Strigiformes,Tytonidae,Tyto
Barn swallow,"common swallow, swallow",Hirundo rustica,Animal,Bird,Passeriformes,Hirundinidae,Hirundo
Barred Warblerÿ,,Sylvia nisoria,,,,,
Bar-tailed godwit,"Limosa limosa, Limosa lapponica",,Animal,Bird,Charadriiformes,Scolopacidae,Limosa
Bechstein's bat,Bechstein's Myotis,Myotis bechsteinii,Animal,Mammal,Chiroptera,Vespertilionidae,Myotis
Beetle,beetles are all par of the same order ,,,,,,
Belted kingfisher,,Megaceryle alcyon,Animal,Bird,Coraciiformes,Alcedinidae,Megaceryle
Bewick's wren,,Thryomanes bewickii,Animal,Bird,Passeriformes,Troglodytidae,Thryomanes
Bird,Birds are a class of animal,,,,,,
Black blow fly,,Calliphoridae Phormia regina,Animal,Insect,Diptera,Calliphoridae,Phormiaÿ
Black grouse,"Northern black grouse, Eurasian black grouse, blackgame, blackcock","Tetrao tetrix, Lyrurus tetrix",Animal,Bird,Galliformes,Phasianidae,Lyrurus
Black howler,"Black and gold howler, Paraguayan howler",Alouatta caraya,Animal,Mammal,Primates,Atelidae,Alouatta
Black kite,,Milvus migrans,Animal,Bird,Accipitriformes,Accipitridae,Milvus
Black phoebe,,Sayornis nigricans,Animal,Bird,Passeriformes,Tyrannidae,Sayornis
Black pythonÿ,Boelen's Python,"Morelia boeleni, Morelia boeleni, Python boeleni, Liasis boeleni",,,,,
Black redstart,,Phoenicurus ochruros,Animal,Bird,Passeriformes,Muscicapidae,Phoenicurus
Black rock skink,Black crevice skink,Egernia saxatilis,Animal,Reptile,Squamata,Scincidae,Egernia
Black swan,,Cygnus atratus,Animal,Bird,Anseriformes,Anatidae,Cygnus
Black vulture,"American black vulture, mexican vulture",Coragyps atratus,Animal,Bird,Accipitriformes,Cathartidae,Coragyps
Black-bellied swamp snake,"Swamp snake, Marsh snake","Hemiaspis signata, alecto signata",,,,,
Black- bellied whistling duck,,Dendrocygna autumnalis,Animal,Bird,Anseriformes,Anatidae,Dendrocygna
Black-billed magpie,"The Black-billed magpie has been seperated based on its location, so the US population is the American Magpie, and in europe it is the eurasian magpie.","Pica hudsonia for american, pica pica Eurasian",Animal,Bird,Passeriformes,Corvidae,Pica
Black-bellied swamp snake,,Hemiaspis signata,Animal,Reptile,Squamata,Elapidae,Hemiaspis
Black-browed albatross,,Thalassarche melanophris,Animal,Bird,Procellariiformes,Diomedeidae,Thalassarche
Black-capped chickadee,,"Parus atricapillus, Poecile atricapillus",Animal,Bird,Passeriformes,Paridae,Poecile
