Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Censored.Data,Enum.Stats,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Adesiyun et al.,1998,Adesiyun et al. 1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,NA,streak,Animal,Bird,Psittaciformes,Psittacidae,Amazona,Orange-winged amazon,Amazona amazonica,,free range,Camplylobacter spp.,Campylobacter,"feces, cloacal swab",yes,no,,,ND,6,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Adesiyun et al.,1998,Adesiyun et al. 1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,NA,streak,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba spp.,,free range,Camplylobacter spp.,Campylobacter,"feces, cloacal swab",yes,no,,,ND,8,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Adesiyun et al.,1998,Adesiyun et al. 1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,NA,streak,Animal,Bird,Psittaciformes,Psittacinae,Ara,Scarlet macaw,Ara macao,,free range,Camplylobacter spp.,Campylobacter,"feces, cloacal swab",yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Adesiyun et al.,1998,Adesiyun et al. 1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,NA,streak,Animal,Bird,Piciformes,Ramphastidae,Ramphastos,Toucan,Ramphastos toucanas,,free range,Camplylobacter spp.,Campylobacter,"feces, cloacal swab",yes,no,,,ND,4,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Broman et al.,2002,Broman et al. 2002,yes,review,"Sweden, Malmo, Pildammsparken",no,Europe,"plate culture, isolates, PCR used for macro restriction profiling",Conventional,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Campylobacter spp.,Campylobacter,Cloacal swab,yes,no,,,250,786,,NA,,NA,,NA,,,,,,"Has more data on Campylobacter species, and how long animals are infected that were not included due to vagueness of data.",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Broman et al.,2002,Broman et al. 2002,yes,review,"Sweden, Malmo, Pildammsparken",no,Europe,"plate culture, isolates, PCR used for macro restriction profiling",Conventional,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Campylobacter jejuni,Campylobacter jejuni,Cloacal swab,yes,no,,,235,786,,NA,,NA,,NA,,,,,,"Has more data on Campylobacter species, and how long animals are infected that were not included due to vagueness of data.",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Casanovas et al.,1995,Casanovas et al. 1995,yes,review,"Spain, Barcelona",no,Europe,"visual, plate culture",Conventional,NA,NA,NA,NA,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Campylobacter spp. (jejuni),Campylobacter,cloacal swab,yes,no,,,105,400,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Craven et al.,2000,Craven et al. 2000,yes,review,"USA, Georgia, Athens near, 200 ft of chicken house",yes,North America,"microscope, agglutination test, broth culture",Immunologic,NA,NA,NA,NA,Animal,Bird,Passeriformes,,,,,Wild birds (Includes European starlings and House Sparrows),free,Campylobacter jejuni,Campylobacter jejuni,"feces, cloacal swab, intestines",yes,no,,,12,124,0.1,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fallacara et al.,2001,Fallacara et al. 2001,yes,review,"USA,  Ohio, Battlle-Darby Creek, Hoover Dam, Antrim Park, Sharon Woods, Griggs Reservior, Scioto Park",yes,North America,"Culture, Subculture, confirm latex agglutination",Conventional,NA,NA,NA,variable swab,Animal,Bird,,,,Bird (class),,Waterfowl Domestic/Hybrid species,free,Campylobacter jejuni,Campylobacter jejuni,feces,yes,no,,,6,10,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fallacara et al.,2001,Fallacara et al. 2001,yes,review,"USA,  Ohio, Battlle-Darby Creek, Hoover Dam, Antrim Park, Sharon Woods, Griggs Reservior, Scioto Park",yes,North America,"Culture, Subculture, confirm latex agglutination",Conventional,NA,NA,NA,variable swab,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Campylobacter jejuni,Campylobacter jejuni,feces,yes,no,,,185,357,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
