"Animal","Pathogen","Method","GRADE","Report.","Datasets","Samples","Uncounted_Samples","Median","LN_Mean","LN_SD","SE","Report.Name"
"Bird","Campylobacter","Conventional","Low",3,5,782,"No",125422.878538602,11.7394463350264,6.45871952949689,0.0835759940311191,"Obiri-Danso and Jones 1999, Ogden et al. 2009, Levesque et al. 2000"
"Total","Campylobacter","Conventional","Low",3,5,782,"No",125416.712006686,11.7393971678922,6.45928778883743,0.0838133159371783,"Obiri-Danso and Jones 1999, Ogden et al. 2009, Levesque et al. 2000"
"North America","Campylobacter","Conventional","Moderate",1,1,26,"No",130887.458885592,11.7820931404755,1.70232212145498,0.0241592377223122,"Levesque et al. 2000"
"Bird","Cryptosporidium","Conventional","Low",2,7,311,"No",0.000717329176399874,-7.23997572034909,5.73747140940997,0.072485987085845,"Medema 1999, Rzymski et al. 2017"
"Mammal","Cryptosporidium","Conventional","Low",5,7,1884,"No",23871.7001140759,10.0804489406791,6.69053049462714,0.0729495137777982,"Cox et al. 2005, Kilonzo et al. 2017, Montecino-Latorre et al. 2015, Hill et al. 2008, Sturdee et al. 2003"
"Total","Cryptosporidium","Conventional","Low",7,14,2195,"No",650.068465438214,6.47707768878612,9.57817634514448,0.101218996988832,"Cox et al. 2005, Kilonzo et al. 2017, Medema 1999, Montecino-Latorre et al. 2015, Hill et al. 2008, Rzymski et al. 2017, Sturdee et al. 2003"
"North America","Cryptosporidium","Conventional","High",2,2,432,"No",73203.2323242983,11.2009948564103,6.05342792082693,0.063734130536471,"Kilonzo et al. 2017, Montecino-Latorre et al. 2015"
"Bird","Enterococci","Conventional","Low",8,14,511,"Yes",4114.3597912189,8.32223852171679,4.7406311497941,0.0621514644055649,"Jones and Obiri-Danso 1999, Wright et al. 2009, Wood and Trust 1972, Moriarty et al. 2011, Middleton and Ambrose 2005, Fogarty et al. 2003, Ricca and Cooney 1998, Frick et al. 2018"
"Total","Enterococci","Conventional","Low",8,16,675,"Yes",3975.00444013871,8.28778114410384,4.66824129191021,0.0611586276325345,"Jones and Obiri-Danso 1999, Wright et al. 2009, Wood and Trust 1972, Moriarty et al. 2011, Middleton and Ambrose 2005, Fogarty et al. 2003, Ricca and Cooney 1998, Frick et al. 2018"
"North America","Enterococci","Conventional","Low",5,6,178,"No",3900.26841654507,8.26880065450457,4.8252125439396,0.0648608336814674,"Wright et al. 2009, Wood and Trust 1972, Middleton and Ambrose 2005, Fogarty et al. 2003, Ricca and Cooney 1998"
"Bird","Escherichia coli","Conventional","Low",6,12,473,"No",9771.50221500342,9.18722549115009,7.04498695077863,0.0876550234842477,"Middleton and Ambrose 2005, Moriarty et al. 2011, Murphy et al. 2005, Pourcher et al.  1991, Fogarty et al. 2003, Frick et al. 2018"
"Total","Escherichia coli","Conventional","Low",6,14,618,"No",8500.60053564014,9.04789209123451,6.79141151871628,0.0842421902901637,"Middleton and Ambrose 2005, Moriarty et al. 2011, Murphy et al. 2005, Pourcher et al.  1991, Fogarty et al. 2003, Frick et al. 2018"
"North America","Escherichia coli","Conventional","Moderate",2,2,59,"No",397603.082447179,12.8932095063683,6.02512663427922,0.0849905555079975,"Middleton and Ambrose 2005, Fogarty et al. 2003"
"Bird","Fecal coliform","Conventional","Low",10,23,890,"Yes",8133.87691650432,9.00379295437632,8.16523321364748,0.0991587545072828,"Jones and Obiri-Danso 1999, Gould and Fletch 1978, Alderisio and DeLuca 1999, Hussong et al.  1979, Geldreich et al. 1962, Wood and Trust 1972, Cox et al. 2005, Muniesa et al.  1999, Levesque et al. 2000, Ricca and Cooney 1998"
"Total","Fecal coliform","Conventional","Low",10,29,929,"Yes",11034.4953916705,9.30878158965892,10.4825504543912,0.136792446168378,"Cox et al. 2005, Jones and Obiri-Danso 1999, Gould and Fletch 1978, Alderisio and DeLuca 1999, Hussong et al.  1979, Geldreich et al. 1962, Wood and Trust 1972, Muniesa et al.  1999, Levesque et al. 2000, Ricca and Cooney 1998"
"North America","Fecal coliform","Conventional","Low",6,9,641,"No",1869.80494835731,7.53358939871714,7.83113007545645,0.0977268615398065,"Alderisio and DeLuca 1999, Hussong et al.  1979, Geldreich et al. 1962, Wood and Trust 1972, Levesque et al. 2000, Ricca and Cooney 1998"
"Bird","Giardia","Conventional","Low",2,5,427,"No",5.14452851496302e-05,-9.87499173934634,7.28600579404896,0.0903226464165711,"Medema 1999, Oates et al.  2012"
"Mammal","Giardia","Conventional","Low",3,7,451,"No",1089.17819935234,6.99317874531499,6.41186534684075,0.0670779180896904,"Kilonzo et al. 2017, Kowalewski et al. 2011, Oates et al.  2012"
"Total","Giardia","Conventional","Low",4,12,878,"No",229.365535561877,5.43531695610196,8.12824259454385,0.0850214146068425,"Kilonzo et al. 2017, Kowalewski et al. 2011, Medema 1999, Oates et al.  2012"
"North America","Giardia","Conventional","Low",2,5,506,"No",15069672.5167825,16.5281948395625,5.24295719644116,0.0558331148086362,"Kilonzo et al. 2017, Oates et al.  2012"
"Bird","Salmonella","Conventional","Very Low",2,2,40,"No",1981760.32582115,14.4994960611418,4.1771093077447,0.0581862240919189,"Fenlon et al. 1983, Levesque et al. 2000"
"Total","Salmonella","Conventional","Very Low",2,2,40,"No",1980586.44173856,14.4989035415135,4.17741332649198,0.058250501057137,"Fenlon et al. 1983, Levesque et al. 2000"
"North America","Salmonella","Conventional","Moderate",1,1,26,"No",2217616.86940829,14.6119436950052,4.03965931910683,0.057100138958818,"Levesque et al. 2000"
