Animal,Pathogen,Method,GRADE,Datasets,Report#,Positive,Sample(n),Fixed.effects.mean,Fixed.effects.95low,Fixed.effects.95high,Random.effects.mean,Random.effects.95low,Random.effects.95high,AniNum,MethNum,PathNum,Report Name
Amphibia,Enterococci,Conventional,Moderate,1,1,19,68,0.279411765,0.185869092,0.397071061,0.279411765,0.185869092,0.397071061,1,1,1,Frick et al. 2018
Amphibia,Escherichia coli,Conventional,Moderate,1,1,19,68,0.279411765,0.185869092,0.397071061,0.279411765,0.185869092,0.397071061,1,1,5,Frick et al. 2018
Bird,Campylobacter,Conventional,Very Low,29,14,1026,4126,0.275605362,0.260886548,0.290827837,0.195040202,0.13846586,0.267551222,1,1,1,"Adesiyun et al. 1998, Broman et al. 2002, Casanovas et al. 1995, Kinzleman et al. 2008, Moore et al. 2002, Ogden et al. 2009, Palmgren et al. 2004, Plaza-Rodriguez et al. 2021, Quessy and Messier 1992, Sulzner et al. 2014, Wahlstrom et al. 2003, Weis et al. 2014, Whelan et al. 1988, Moriarty et al. 2011"
Bird,Campylobacter coli,Conventional,Low,8,1,17,138,0.192071794,0.122988079,0.287250619,0.162832955,0.053460517,0.401137388,1,1,4,Kapperud and Rosef 1983
Bird,Campylobacter jejuni,Conventional,Low,48,11,1392,4676,0.37784298,0.361252429,0.394724612,0.264940079,0.174439554,0.380739059,1,1,8,"Broman et al. 2002, Fallacara et al. 2001, Fallacara et al. 2004, Kapperud and Rosef 1983, Luechtefeld et al. 1980, Moore et al. 2002, Pacha et al.  1987, Pao et al. 2014, Pearson et al. 2016, Taff et al. 2016, Wahlstrom et al. 2003"
Bird,Campylobacter lari,Conventional,Low,10,3,57,447,0.101568434,0.06723348,0.150606526,0.15554675,0.0360444,0.475721019,1,1,9,"Kapperud and Rosef 1983, Moore et al. 2002, Wahlstrom et al. 2003"
Bird,Cryptosporidium,Conventional,Low,4,3,3,163,0.030407478,0.011317989,0.079117724,0.031138351,0.005929332,0.147610491,2,1,1,"Cox et al. 2005, Li et al. 2020, Rzymski et al. 2017"
Bird,EHEC,Conventional,Very Low,44,4,1,1176,0.050288026,0.033231567,0.075415979,0.050288026,0.034727133,0.072299348,2,1,2,"Fonseca, et al. 2020, Gaukler et al. 2009, Hancock et al. 1998, Siembieda et al. 2011"
Bird,Enterococci,Conventional,Low,42,6,501,1375,0.267623756,0.233671121,0.304549164,0.244530927,0.132884989,0.406052977,2,1,1,"Kuntz et al 2004, Frick et al. 2018, Moriarty et al. 2011, Middleton and Ambrose 2005, Ricca and Cooney 1998, Marrow et al. 2009"
Bird,Enterococcus faecalis,Conventional,Low,8,1,7,14,0.5,0.278739609,0.721260391,0.5,0.328622642,0.671377358,2,1,3,Kuntz et al 2004
Bird,EPEC,Conventional,Low,13,1,45,143,0.497796184,0.3519462,0.644022183,0.42227476,0.167226434,0.726816159,2,1,4,Pennycott et al. 1998
Bird,Escherichia coli,Conventional,Very Low,74,22,1879,5504,0.374573996,0.359577734,0.389814996,0.317820158,0.235961796,0.412735735,2,1,5,"Awad-Alla et al. 2010, Binkley, L. E. 2015, Brittingham et al. 1988, Carroll et al 2015, Contreras-Rodriguez et al. 2019, Fallacara et al. 2001, Fallacara et al. 2004, Franklin et al. 2015, Frick et al. 2018, Gaukler et al. 2009, Kullas et al.  2002, Meteyer et al. 1997, Middleton and Ambrose 2005, Morishita et al. 1999, Pearson et al. 2016, Pourcher et al.  1991, Radwan and Lampky 1972, Steel et al. 2005, Stenkat et al. 2014, Sulzner et al. 2014, Wiese et al. 1977, Winsor et al. 1981"
Bird,Fecal coliform,Conventional,Moderate,36,4,194,1064,0.228316834,0.194207958,0.266435493,0.135402845,0.068250574,0.250839387,1,1,1,"Hussong et al.  1979, Ricca and Cooney 1998, Cox et al. 2005, Muniesa et al.  1999"
Bird,Giardia,Conventional,Low,21,5,13,807,0.050968002,0.032544975,0.078968658,0.048958236,0.024447246,0.095635011,1,1,1,"Cox et al. 2005, Heitman et al. 2002, Medema 1999, Oates et al.  2012, Rzymski et al. 2017"
