Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.name.extra,Free.captive,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,Standard Method 9222G,Conventional,100,,CFU/g wetweight,1g,Animal,Mammal,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus,Antechinus stuartii,,free,Fecal coliform,feces,yes,yes,StatsTotal,yes,3,12,NA,,NA,NA,NA,NA,NA,5000,NA,NA,CFU/g wet weight,,,0,100,0,100,NA,NA,NA,NA,Moderate,2
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Scolopacidae,Limosa,Bar-tailed godwit,Limosa limosa,,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,7.08E+11,NA,NA,115000,3.31E+12,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus  ridibundus,,1 year captivity,Fecal coliform,feces,no,yes,StatsTotal,no,NA,52,NA,,26964285.71,NA,NA,NA,70000,73200000,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus  ridibundus,,1 year captivity,Total coliform,feces,no,yes,StatsTotal,no,NA,52,NA,,25892857.14,NA,NA,NA,30000,73200000,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,Standard Method 9222G,Conventional,100,,CFU/g wetweight,1g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,free,Fecal coliform,feces,yes,yes,StatsTotal,no,2,2,NA,,NA,NA,NA,160000,140000,1.80E+08,NA,NA,CFU/g wet weight,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Alderisio and DeLuca,1999,Alderisio and DeLuca 1999,yes,review,"USA, NY, Westchester County",yes,North America,Plate count,Conventional,300,NA,CFU/g,8.35g mean (0.44-25.4 g  volume standardized by dilution),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Fecal coliform,feces,no,yes,StatsTotal,no,NA,236,NA,,15300,NA,NA,NA,NA,NA,NA,NA,CFU/gram,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Hussong et al. ,1979,Hussong et al.  1979,yes,review,"USA, Chesapeake Bay",yes,North America,MPN broth,Conventional,NA,NA,,1g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Fecal coliform,feces,yes,yes,StatsTotal,no,20,20,NA,,36000,NA,19100,NA,NA,NA,NA,NA,bacteria/g feces,From Weiskel et. al. 1962,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Braintree (golf course)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,20g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,0,1,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Braintree (golf course)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,20g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,1,10,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Braintree (golf course)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,20g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,1,32,NA,,NA,NA,NA,NA,10,100,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
