Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces 2gene copies/reaction,200 mg,Animal,Mammal,Chiroptera,Pteropodidae,Pteropus,,,Flying fox (genus),free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,StatsTotal,yes,0,14,,NA,<1000,NA,<1000,,<1000,<1000,<1000,<1000,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces 2gene copies/reaction,200 mg,Animal,Mammal,Psittaciformes,,,,,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,StatsTotal,yes,0,10,,NA,<1000,NA,<1000,,<1000,<1000,<1000,<1000,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Atwill et al.,2001,Atwill et al. 2001,yes,review,"USA, California, Kern County",yes,North America,immunoflourescent microscope,Conventional,6-20% recovery from spikes,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Otospermophilus,California ground squirrel,Spermophilus beecheyi,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces (colon of dead squirrels),yes,yes,StatsTotal,no,49,309,,NA,8543,NA,45895,,,,,,oocysts/gram,average based on total squrills,Data also broken down by sex and age,NA,NA,NA,NA,NA,NA,NA,NA,High,3
"Binkley, L. E.",2015,"Binkley, L. E. 2015",Thesis,Google Scholar,"USA, Ohio, Columbus",yes,North America,"ELISA, biochemical, culture broth",Molecular,NA,NA,,5 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,89,199,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Chalmers et al.,1994,Chalmers et al. 1994,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell (Stables and Farm)",no,Europe,"Microscope, stain",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,,,19,58,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Chalmers et al.,1994,Chalmers et al. 1994,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell (Stables and Farm)",no,Europe,"Microscope, stain",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Cryptosporidium muris,Cryptosporidium muris,feces,yes,no,,,15,58,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Chalmers et al.,1997,Chalmers et al. 1997,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell",no,Europe,"Microscope, monoclonal antibody",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Cricetidae,Myodes,Bank vole,Clethrionomys glareolus,,free,Cryptosporidium muris,Cryptosporidium muris,feces,yes,no,,,2,123,0.02,NA,,NA,,,,,,,,Broken down further from Fergison et al 2014,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Chalmers et al.,1997,Chalmers et al. 1997,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell",no,Europe,"Microscope, monoclonal antibody",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Cricetidae,Myodes,Bank vole,Clethrionomys glareolus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,,,11,123,0.09,NA,,NA,,,,,,,,Broken down further from Fergison et al 2011,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Chalmers et al.,1997,Chalmers et al. 1997,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell",no,Europe,"Microscope, monoclonal antibody",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Apodemus sylvaticus,,free,Cryptosporidium muris,Cryptosporidium muris,feces,yes,no,,,12,230,0.05,NA,,NA,,,,,,,,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Chalmers et al.,1997,Chalmers et al. 1997,yes,review,"UK, England, Warwickshire College Estate, Moreton Morrell",no,Europe,"Microscope, monoclonal antibody",Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus domesticus,,free,Cryptosporidium muris,Cryptosporidium muris,feces,yes,no,,,24,242,0.1,NA,,NA,,,,,,,,From Ferguson et al. 2010,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
