Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.Extras,Free.captive,Pathogen1,Pathogen,Pathotype.Bin.2,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O103,EHEC,,feces,yes,no,,,ND,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O111,EHEC,,feces,yes,no,,,ND,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O145,EHEC,,feces,yes,no,,,ND,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O157,EHEC,,feces,yes,no,,,17,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,reverse passive latex agglutination,Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O157 VT1 or VT2,EHEC,,feces,yes,no,,,7,17,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O26,EHEC,,feces,yes,no,,,ND,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Abulreesh et al.,2014,Abulreesh et al. 2014,yes,Google Scholar,"Saudi Arabia, Mecca",no,Eastern Mediterranean,"biochemical, PCR (RW01, DG74), latex agglutination, culture broth and plate",Immunologic,NA,NA,,0.5 g,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Escherichia coli O91,EHEC,,feces,yes,no,,,ND,600,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA. east1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 5",free,Escherichia coli east1,EAEC,,feces,yes,no,,,5,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA. east1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli east1,EAEC,,feces,yes,no,,,17,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, hlyA), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 7",free,Escherichia coli hlyA,EHEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
