Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen.name.original,Pathogen.rename,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Fenlon et al.,1983,Fenlon et al. 1983,? yes journal is no longer published,review,"UK, Scotland, Aberdeen",no,Europe,"MPN, 5 tube, standard method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,,Larus spp.,Gull (genus),free,Salmonella,Salmonella,Salmonella,feces (salmonella positive),no,yes,StatsTotal,no,,14,,,39.7,NA,52.7,NA,0.18,191,,,salmonella/g,Has a lot of data on behavior,cannot find original numbers.,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,API 20E,Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces,no,yes,StatsTotal,no,,100,,,,150,,NA,,,,,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,API 20E,Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces,no,yes,StatsTotal,no,,148,,,,230,,NA,,,,,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,API 20E,Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces,no,yes,StatsTotal,no,,236,,,,12000,,NA,,,,,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,1700000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,4000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,1000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,230000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,2400000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,930000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,230000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,2300,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,64000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,1600000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,2000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,100,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Salmonella spp.,Salmonella,Salmonella,feces composite,no,yes,StatsIndiv,yes,,1,,12000000,,NA,,NA,,,,,CFU/g,Also found trends in concentration based on age and location,MDL assumed based on Levesque 1993,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
