Study,Stud Design,Rating,Limitations,Rate Down,Inconsistency,Rate Down,Indirectness,Rate Down,Imprecision,Rate Down,Publication Bias,Rate Down,Large Effect,Rate Up,Dose Response,Rate Up,Confounding,Rate Up,Total,Rating#,Rating,Notes
Abulreesh et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Also seperated for seasonal differences,1,3,3,High,
Acke et al. 2006,Observational,1,No serious limitations,0,"All animals are from animal shelters, and were vaccinated",1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Seperated dogs/cat, different shelters, by age, rectal/fecal samples",1,1,1,Low,
Acke et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Seperated dogs/cat, healthy/diarrhoea, other health conditions, age",1,2,2,Moderate,
Adesiyun et al. 1998,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
"Afema, et al. 2016",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Ahmed et al.  2012,Observational,1,No serious limitations,0,No serious inconsistency,0,Tested different tissues from the same animal instead of fecal samples.,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Seperated by species and different tissue types.,1,1,1,Low,
Ahmed et al.  2019,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,gene copies,1,No Confounding,0,2,2,Moderate,
Ahmed et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,gene copies,1,No Confounding,0,2,2,Moderate,
Alam and Zurek 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,Tested the whole body of the fly instead of feces,1,No serious imprecision,0,Undetected,0,>140 samples,1,CFU,1,"Location, and time of year samples were taken",1,3,3,High,
Alderisio and DeLuca 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,CFU,1,"season, year",1,4,3,High,
Allen et al. 2010,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"species, location",1,2,2,Moderate,
Andres-Barranco et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
